wayid,num_samples,num_hours_avail
25746015,146,16
77048319,145,19
24042648,143,17
231502129,143,19
655540089,143,18
655583142,142,16
679648339,142,12
397965577,141,10
26584183,141,18
675089109,141,21
419113958,141,22
25033664,140,17
659308918,140,16
93671348,139,21
187198060,136,20
683322580,135,18
373169053,135,17
25868838,135,20
44037589,134,16
399055607,134,21
679372022,132,19
673405976,130,16
26720548,129,17
287710515,129,22
25064140,129,16
309003697,127,16
44629763,127,18
419051579,127,17
95792563,127,9
162818953,126,16
440744015,125,19
363387384,125,22
669942060,124,18
671234057,124,19
665058432,124,18
440744013,124,19
40121536,123,15
4821524,123,23
675089111,122,21
678371482,122,13
239192906,122,17
100149058,122,15
26988583,122,16
671264348,121,15
24024918,121,18
552363541,120,11
658273336,120,20
25538961,120,8
679963761,119,18
583761968,119,16
678314376,119,13
22804827,118,17
659301393,118,9
97808888,118,19
687425394,116,19
583039628,116,12
668456108,116,17
25605802,116,12
677813231,115,17
129884927,115,19
659308924,115,16
677812730,114,19
673365543,113,18
382732118,113,15
34061910,113,22
24951085,113,16
658575805,113,16
87650828,111,18
675089110,111,21
337861964,110,9
344298167,110,11
520319987,109,16
4723999,109,14
226951101,108,15
53058230,108,17
388178015,108,14
4760501,107,15
675935011,106,16
187197594,106,21
48161140,105,16
678335133,105,15
675935012,105,16
25830589,105,18
419291437,105,18
680099990,104,16
676976705,103,19
154067950,102,15
583764784,102,16
376787965,101,16
332245944,101,17
169142977,101,10
231498630,100,18
26603275,100,10
91857646,99,15
478003521,99,15
680542349,98,20
97816074,98,20
331572550,97,19
37700722,97,18
647628483,97,17
344299123,97,21
427848792,97,19
572001696,96,12
25830608,93,15
240568913,93,17
307714011,93,16
247463066,93,17
155417085,92,16
226427650,91,20
76771134,91,17
484517461,91,19
677048821,90,16
679375462,90,19
24716559,88,15
120736048,88,19
25858130,87,17
48067252,87,19
25858033,87,14
26539646,87,18
658236297,87,17
125643480,86,14
76967115,86,17
51067584,86,17
475940344,86,15
25537980,86,16
561480222,85,17
325928142,85,18
679156929,84,16
77466460,84,19
555757085,84,18
40627392,84,15
555184949,83,16
325928143,83,19
100130915,82,16
4775760,82,18
678371484,82,13
674908956,81,15
671212987,81,7
680542348,81,21
313522536,81,16
679360662,80,13
184369616,80,18
680558409,80,18
26469151,79,19
4741890,79,13
568913095,79,16
239409010,79,17
42411401,78,16
456700145,78,13
25786578,78,15
678445497,78,13
658169279,77,17
671410353,77,16
362399247,77,18
25830571,77,17
592440130,75,15
48226374,75,14
26583504,75,17
56397014,75,18
25064207,74,13
162818142,73,18
583039629,73,11
680099991,73,10
680066592,73,17
419051581,73,19
24009834,72,10
658219767,72,16
131842977,71,9
259885637,71,13
56397020,71,18
679190874,70,12
48161148,70,18
554679331,69,16
198232750,69,18
419291436,69,16
42411403,68,16
162818141,68,18
26469074,67,13
245719237,67,12
678331784,67,11
674931866,67,19
592440128,67,13
385905971,66,16
161593181,66,18
671412341,66,16
568922810,66,15
56052343,66,16
552361817,66,18
26744322,66,18
97085105,65,17
674978987,65,18
679963762,64,12
245719907,64,12
161593178,64,18
25796100,63,14
240067192,63,14
25704539,63,18
161593183,63,18
77527116,63,17
287710521,62,19
25605807,62,12
161597053,62,18
678334500,62,18
25739208,61,18
658559809,61,14
151066310,61,16
25858057,61,13
619161879,60,14
145122044,60,16
361905290,60,22
100147488,60,17
520319988,60,14
678371483,60,15
231498622,60,15
374263527,59,9
672298167,59,20
128995091,59,9
24716699,59,7
668848862,59,18
25849845,59,13
26720544,59,18
678674757,59,15
187196990,58,18
188442788,58,16
672298168,58,16
231493754,58,13
374430746,57,17
24951175,57,16
399055604,57,15
161482844,56,14
238807846,56,12
25746012,56,17
553586401,55,17
97816070,55,15
672889674,55,10
259885785,55,14
25815026,55,14
419073402,55,13
42122908,55,17
146177685,55,17
671207359,55,11
668217232,54,12
678331193,54,18
137341539,54,13
658264978,53,14
137340058,53,14
679754198,53,15
271395234,53,10
238808779,53,14
105268550,53,12
678438299,53,9
679531839,53,14
532655591,53,17
97809205,52,15
665052534,52,15
145122001,52,16
572001702,51,14
25889223,51,14
677812729,51,16
172265313,51,12
583761981,51,11
671412154,50,16
678534632,50,15
166137303,50,15
663481233,50,15
430577495,50,11
453900900,50,10
680036099,50,15
4723974,50,11
231493755,49,14
680398097,49,18
94988751,49,15
679380437,49,17
137340060,49,14
100353149,49,17
25796506,49,14
104473527,49,16
120723920,48,9
97677245,48,14
380159041,48,17
161596267,48,15
658264977,48,14
583707623,48,13
42916760,48,11
552885274,48,13
679239078,47,14
678559780,47,14
552385868,47,11
409880387,47,15
680398096,47,19
552885273,47,12
680398088,46,15
532655554,46,14
658319974,46,13
95991729,46,12
87647459,46,14
353311522,46,14
93673601,45,13
363390675,45,15
678119021,45,19
680398086,44,15
501395792,44,22
184369598,44,13
26472460,44,17
25796502,44,15
105267054,44,13
55368215,43,13
93585924,43,14
538598307,43,11
87633899,43,12
42399905,43,14
658289095,42,14
671411300,42,11
658228767,42,11
97816988,42,14
25341982,42,15
53081807,42,4
226427651,42,16
101196403,42,14
671409675,42,12
679473676,41,14
658228769,41,11
239559125,41,15
101532311,41,14
678328628,41,13
658249354,41,13
177084638,40,15
419073400,40,11
198232630,40,14
259399010,40,8
26539556,40,13
48068494,40,10
87651164,40,15
678438297,40,4
678334501,40,13
368030902,40,12
265936052,40,13
553801023,39,12
680549029,39,18
668848861,39,18
363389722,39,12
683322574,39,12
419051577,39,14
96878962,39,15
678447735,38,12
198232867,38,16
363390674,38,15
543078851,38,15
679178709,38,13
169142687,38,13
173961419,38,12
553042531,38,12
363386464,38,15
87651440,37,11
627144563,37,14
680909761,37,14
362401615,37,14
660654139,37,7
77344705,37,15
101196434,36,13
131846529,36,9
26472452,36,12
572087316,36,16
655547446,35,14
683322573,35,13
187198059,34,15
680005246,34,16
26539766,34,14
671409677,34,12
661357407,34,12
671589124,33,15
97085099,33,10
87644381,33,13
25342203,33,10
97811176,33,12
431809412,33,14
571774121,32,4
647628110,32,13
374430747,32,11
671213411,32,10
128998863,32,13
201715487,32,10
657943809,32,14
658228776,31,11
374430776,31,11
385905972,31,15
680256084,31,7
25889279,31,4
677048818,31,14
572001692,31,11
87651439,31,8
658409696,31,12
371719157,31,9
25888942,30,11
324758440,30,12
25773051,30,14
182627151,30,11
679956720,30,9
675986564,30,8
679156928,30,14
374430707,30,12
25738368,30,14
72672624,30,9
93670619,30,15
374433420,30,11
77527121,30,12
297314920,30,5
177084883,29,8
374433404,29,12
231498627,29,20
639979613,29,13
675021671,29,14
673931211,29,11
264112735,29,11
187197445,29,12
26787864,29,14
88398827,29,12
374430773,29,11
184369643,29,11
678386147,29,12
231493257,29,14
182627062,29,7
25868520,29,15
655661079,28,14
26468858,28,12
166137293,28,11
581644004,28,9
184369600,28,10
72672617,28,9
647635144,28,11
680076932,28,10
671409676,28,12
679963049,28,12
679638248,28,14
678386148,28,14
25738386,28,8
581644538,27,8
77517734,27,10
675667940,27,9
76771096,27,10
100346415,27,11
619161878,27,10
121271230,27,11
25785547,27,11
668295071,27,11
363386466,27,11
374430774,26,11
374430772,26,11
673931212,26,11
673931208,26,11
25868916,26,13
101196352,26,15
668673006,25,9
173960946,25,12
25815000,25,12
671415163,25,11
45872946,25,10
26622319,25,10
658409708,25,8
675015971,25,14
680304502,24,11
4723979,24,14
25858128,24,11
437764510,24,12
26584144,24,8
114394271,24,11
86213722,24,12
183678858,24,11
677800142,24,15
532655583,24,15
