wayid,num_samples
672119324,8781
41667597,8780
679508074,8764
472115196,8761
679198779,8761
259887822,8755
659873729,8755
8462710,8754
50996454,8748
161487292,8743
39962881,8742
97676908,8742
99683607,8741
84658296,8732
658273339,8731
4752328,8730
658418120,8690
259887820,8689
259887821,8689
363390669,8682
25036471,8681
668455394,8680
472115193,8680
259887904,8678
162818139,8647
4761138,8646
512985269,8623
87654402,8613
680572843,8606
678717272,8602
188442931,8569
100126230,8565
25773355,8554
26702161,8526
680103432,8526
652583281,8518
188442932,8510
254811674,8483
7726755,8476
680469228,8473
100796586,8464
260452279,8450
583039637,8437
583707624,8430
26702856,8425
184369596,8425
658273340,8422
581225466,8417
640082451,8414
659951030,8410
680870449,8396
60882536,8394
26472141,8388
4821520,8375
640088046,8346
22797665,8311
99683605,8295
568942543,8291
173959636,8290
150473473,8251
25760566,8251
673570440,8231
679203007,8230
239183929,8224
640088047,8206
330492795,8200
679203006,8174
231502882,8166
331471465,8158
45763004,8130
231499832,8111
312340546,8110
183678888,8053
673781801,8038
374245891,8026
552417979,8020
363390668,8020
231499829,8008
326968551,7997
659024565,7993
512985270,7977
4751854,7949
41454967,7945
369117815,7938
53059089,7924
676715099,7917
668214905,7903
680043347,7872
22804542,7856
680043346,7854
337517576,7854
512985271,7852
478003522,7848
565316623,7804
664046291,7794
658697087,7784
432316788,7783
567085647,7778
25737793,7745
228791222,7730
233060433,7697
259888183,7694
643309112,7688
39962870,7686
640083533,7684
592440131,7684
112950523,7678
640073512,7673
48850475,7672
658409697,7670
4752326,7659
567085643,7648
555081906,7639
39962872,7619
24011419,7615
583039634,7599
39886100,7563
678568179,7558
231508265,7537
347091662,7516
24027527,7505
678559779,7495
363390667,7487
679203008,7482
583039633,7469
77344710,7466
25605801,7464
162817957,7452
24025252,7434
678331786,7431
679198776,7419
154067949,7418
51068009,7415
567085649,7399
25858103,7390
678402168,7344
51543065,7324
48958914,7317
53627921,7302
231493253,7284
88401566,7283
247463068,7267
643309113,7266
658559803,7257
678331783,7230
643309654,7226
247463065,7198
671401131,7197
658559804,7195
26472476,7173
564775722,7148
97694543,7144
187197454,7138
187197444,7133
679198780,7107
432316787,7106
551713122,7104
672119326,7101
680287024,7074
678438287,7069
678099441,7063
61494921,7058
686119500,7024
673354082,7012
231498620,7007
99190152,6975
555081907,6968
231502881,6963
679390763,6950
673570439,6939
679971285,6926
512985273,6909
184369800,6873
45554325,6805
187197442,6800
681098568,6797
24716352,6792
25739061,6790
552385103,6787
45554329,6785
26469194,6783
658559802,6779
326666386,6772
231493248,6747
265007052,6737
572001788,6724
556588933,6719
40131554,6719
231493251,6701
88401564,6697
529985770,6685
25773757,6678
677048816,6669
25342220,6646
25590417,6639
231503844,6628
668295096,6617
101074610,6615
679390075,6607
686119501,6600
293561145,6584
162817969,6574
567085641,6511
679734461,6495
658273332,6478
44487147,6475
326666385,6469
680915360,6461
8462721,6461
658273335,6409
678572285,6387
43270175,6375
259332951,6374
231493247,6365
131715463,6361
678339743,6353
231852887,6343
512985272,6335
678528877,6309
231511119,6293
239110926,6278
679531841,6252
678051603,6242
330461528,6242
572078979,6238
658559800,6235
675260004,6231
668295095,6206
231499826,6202
89823436,6183
26539662,6169
41791877,6145
678652461,6137
564775723,6119
673781802,6118
568975557,6110
670008321,6109
39962903,6099
39962894,6096
161487256,6075
26622618,6050
161487252,6044
107279613,6043
25342221,6035
660520648,6035
187197451,6029
4752661,6023
87651850,6023
658559801,6014
680247037,6010
24716359,6004
568926906,5991
680915359,5990
231502884,5960
678182386,5956
23754548,5941
512985275,5941
658219753,5928
26469189,5907
97084503,5897
440744016,5882
639986096,5870
26468855,5868
247463752,5853
24025185,5851
16214934,5823
679998460,5815
25745721,5807
326666383,5802
231508273,5779
34358642,5774
679964965,5774
493736712,5737
658709079,5731
22810559,5729
532655559,5724
532650190,5722
675260000,5718
26787881,5714
4821485,5709
512997808,5700
187197593,5649
675259997,5638
679531838,5632
672301743,5571
231511121,5552
231493753,5537
